title_id,genre_id,order
tt11005992,7,1
tt11005992,27,2
tt11005992,25,3
tt11013952,4,1
tt11013952,5,2
tt11021880,25,1
tt11029798,27,1
tt11037642,4,1
tt11045536,27,1
tt11053500,8,1
tt11061298,8,1
tt1106924,16,1
tt11077232,4,1
tt11085230,2,1
tt11085230,23,2
tt11093292,8,1
tt11101166,25,1
tt11109206,4,1
tt11117162,26,1
tt11117162,27,2
tt1112525,3,1
tt1112525,16,2
tt1112525,9,3
tt11133312,4,1
tt11133312,16,2
tt11141320,9,1
tt11149378,4,1
tt11149378,8,2
tt11157492,27,1
tt11165624,3,1
tt11165624,16,2
tt11165624,12,3
tt1117368,8,1
tt11181746,8,1
tt11181746,5,2
tt11190102,8,1
tt11198412,10,1
tt11198412,2,2
tt11206578,4,1
tt11206578,8,2
tt11206578,9,3
tt11215042,26,1
tt11223418,4,1
tt11231676,12,1
tt11231676,27,2
tt11248216,1,1
tt11256450,2,1
tt11264634,4,1
tt11264634,8,2
tt11272882,4,1
tt11280964,26,1
tt11289134,8,1
tt1129721,8,1
tt1129721,12,2
tt1129721,5,3
tt11305316,1,1
tt11313428,16,1
tt11321360,28,1
tt11321360,5,2
tt11329578,5,1
tt11337440,4,1
tt11337440,2,2
tt1134552,4,1
tt1134552,2,2
tt11353716,8,1
tt11361848,27,1
tt1137003,27,1
tt1137003,6,2
tt11378058,4,1
tt11386000,8,1
tt11386000,5,2
tt11394188,1,1
tt1140218,4,1
tt1140218,8,2
tt1140218,16,3
tt11410200,12,1
tt11410200,2,2
tt11419152,5,1
tt11426988,12,1
tt11435398,7,1
tt11443462,12,1
tt11443462,2,2
tt11451528,5,1
tt11451528,2,2
tt11459590,11,1
tt11459590,1,2
tt11459590,25,3
tt11467658,11,1
tt11475592,5,1
tt11483744,7,1
tt11483744,25,2
tt11491754,8,1
tt11499778,4,1
tt11499778,8,2
tt11499778,5,3
tt11507750,7,1
tt11515746,6,1
tt11523638,28,1
tt11531550,8,1
tt11547350,26,1
tt11555296,1,1
tt1156322,10,1
tt1156322,2,2
tt11571368,8,1
tt11579428,16,1
tt11579428,9,2
tt11579428,19,3
tt11587500,8,1
tt11595596,4,1
tt11595596,25,2
tt11603738,4,1
tt11603738,8,2
tt11603738,5,3
tt11611830,1,1
tt11619892,4,1
tt1162782,14,1
tt1162782,8,2
tt1162782,5,3
tt11635860,8,1
tt11643950,27,1
tt11652008,7,1
tt11660050,8,1
tt11660050,16,2
tt11660050,5,3
tt11668010,8,1
tt11668010,27,2
tt11668010,25,3
tt11676134,4,1
tt11676134,25,2
tt11683986,23,1
tt11692056,3,1
